"Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK"
"79,Yann Sommer,ch SUI,GK,Inter,37-103,1988,28,28,""2,52"",28.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00"
"80,Daniele Sommariva,it ITA,GK,Genoa,28-255,1997,2,1,176,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00"
"81,Manor Solomon,il ISR,""FW,MF"",Fiorentina,26-249,1999,9,5,477,5.3,2,0,2,2,0,0,0,0,0.38,0.00,0.38,0.38,0.38"
"82,Oumar Solet,fr FRA,DF,Udinese,26-051,2000,27,26,""2,239"",24.9,3,1,4,2,1,1,1,0,0.12,0.04,0.16,0.08,0.12"
"83,Simon Sohm,ch SUI,MF,Bologna,24-353,2001,7,5,454,5.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00"
"84,Simon Sohm,ch SUI,MF,Fiorentina,24-353,2001,16,9,708,7.9,0,1,1,0,0,0,2,0,0.00,0.13,0.13,0.00,0.13"
"85,Ivan Smol?i?,hr CRO,DF,Como,25-225,2000,20,14,""1,173"",13.0,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00"
"86,Tobias Slotsager,dk DEN,DF,Hellas Verona,20-088,2006,7,4,426,4.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00"
"87,?ukasz Skorupski,pl POL,GK,Bologna,34-329,1991,17,17,""1,412"",15.7,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00"
"88,Laurs Skjellerup,dk DEN,FW,Sassuolo,23-230,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00"
"89,Leo Skiri Østigård,no NOR,DF,Genoa,26-122,1999,24,24,""2,082"",23.1,5,1,6,5,0,0,6,0,0.22,0.04,0.26,0.22,0.26"
"90,Giovanni Simeone,ar ARG,FW,Torino,30-268,1995,24,19,""1,578"",17.5,8,0,8,8,0,0,1,0,0.46,0.00,0.46,0.46,0.46"
"91,Marco Silvestri,it ITA,GK,Cremonese,35-028,1991,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00"
