2026-04-03 22:37:01,664 [INFO] RPA: Avvio sessione per la lega 'serie_a'
2026-04-03 22:42:01,770 [INFO] ── Adam Marušić (SS Lazio) ──
2026-04-03 22:42:01,771 [INFO]   sofascore_id=267619 league=serie_a
2026-04-03 22:42:02,139 [INFO]   [PW] Step 1: acquisizione cookie (homepage)...
2026-04-03 22:42:05,945 [INFO]   [PW] Step 2: profilo + slug player 267619...
2026-04-03 22:42:08,912 [INFO]   [📡] Token intercettato: 24a7a8
2026-04-03 22:42:13,796 [INFO]   [PW] Profilo OK (21 campi) | slug=adam-marusic
2026-04-03 22:42:14,298 [INFO]   [PW] Step 3: navigazione profilo: https://www.sofascore.com/player/adam-marusic/267619
2026-04-03 22:42:21,853 [INFO]   [📡] Attributi intercettati: //www.sofascore.com/api/v1/player/267619/attribute-overviews
2026-04-03 22:42:21,991 [INFO]   [PW] ✅ Attributi intercettati in anticipo — proseguo
2026-04-03 22:42:21,992 [INFO]   [PW] Step 4: navigazione Statistics (heatmap)...
2026-04-03 22:42:22,116 [INFO]   [📡] Attributi intercettati: //www.sofascore.com/api/v1/player/267619/attribute-overviews
2026-04-03 22:42:33,992 [INFO]   [PW] ⏱ Timeout heatmap passiva — userò JS fetch per competizione
2026-04-03 22:42:33,993 [INFO]   [PW] Step 5: token=✅ 24a7a8
2026-04-03 22:42:33,995 [INFO]   [PW] ✅ attribute-overviews da captured
2026-04-03 22:42:33,996 [INFO]   [PW] ✅ Attributi: 8 valori
2026-04-03 22:42:33,997 [INFO]   [PW-JS] Forcing fetch: transfer-history
2026-04-03 22:42:34,320 [INFO]   [PW-JS] OK: transfer-history
2026-04-03 22:42:34,772 [INFO]   [PW] ✅ national-team-statistics da captured
2026-04-03 22:42:34,773 [INFO]   [PW] Partite: 30
2026-04-03 22:42:34,774 [INFO]   [PW] Nazionale: 1
2026-04-03 22:42:34,774 [INFO]   [PW] Trasferimenti: 4
2026-04-03 22:42:34,775 [INFO]   [PW] Trasferimenti: 4
